web-scraper-order,web-scraper-start-url,Club,Weekly Gross (IN GBP,000's),Annual Gross (IN GBP,000's),Adj Gross (IN GBP,000's),Keeper (IN GBP,000's),Defense (IN GBP,000's),Midfield (IN GBP,000's),Forward (IN GBP,000's)
1647795467-95,https://www.capology.com/uk/premier-league/payrolls/2019-2020/,Norwich,£504.00,"£26,190.00","£26,190.00","£4,750.00","£6,300.00","£7,330.00","£7,810.00",,,,,,,
1647795467-89,https://www.capology.com/uk/premier-league/payrolls/2019-2020/,Wolverhampton,"£1,041.00","£54,130.00","£54,130.00","£7,020.00","£14,930.00","£14,730.00","£17,450.00",,,,,,,
1647795467-88,https://www.capology.com/uk/premier-league/payrolls/2019-2020/,Watford,"£1,109.00","£57,670.00","£57,670.00","£2,760.00","£16,730.00","£12,380.00","£25,800.00",,,,,,,
1647795467-96,https://www.capology.com/uk/premier-league/payrolls/2019-2020/,Sheffield United,£465.00,"£24,180.00","£24,180.00","£1,820.00","£8,620.00","£5,520.00","£8,220.00",,,,,,,
1647795467-107,https://www.capology.com/uk/premier-league/payrolls/2019-2020/,Newcastle,"£1,294.00","£67,310.00","£67,310.00","£4,580.00","£23,310.00","£17,510.00","£21,910.00",,,,,,,
1647795467-109,https://www.capology.com/uk/premier-league/payrolls/2019-2020/,Wolverhampton,"£1,041.00","£54,130.00","£54,130.00","£7,020.00","£14,930.00","£14,730.00","£17,450.00",,,,,,,
1647795467-105,https://www.capology.com/uk/premier-league/payrolls/2019-2020/,Crystal Palace,"£1,429.00","£74,290.00","£74,290.00","£5,590.00","£23,140.00","£15,270.00","£30,290.00",,,,,,,
1647795467-86,https://www.capology.com/uk/premier-league/payrolls/2019-2020/,Leicester,"£1,414.00","£73,530.00","£73,530.00","£9,000.00","£23,400.00","£18,120.00","£23,010.00",,,,,,,
1647795467-82,https://www.capology.com/uk/premier-league/payrolls/2019-2020/,Tottenham,"£2,069.00","£107,580.00","£107,580.00","£8,580.00","£26,940.00","£33,060.00","£39,000.00",,,,,,,
1647795467-102,https://www.capology.com/uk/premier-league/payrolls/2019-2020/,Tottenham,"£2,069.00","£107,580.00","£107,580.00","£8,580.00","£26,940.00","£33,060.00","£39,000.00",,,,,,,
1647795467-91,https://www.capology.com/uk/premier-league/payrolls/2019-2020/,Aston Villa,£984.00,"£51,150.00","£51,150.00","£9,290.00","£14,630.00","£11,450.00","£15,780.00",,,,,,,
1647795467-92,https://www.capology.com/uk/premier-league/payrolls/2019-2020/,Brighton,£937.00,"£48,720.00","£48,720.00","£3,480.00","£14,880.00","£17,360.00","£13,000.00",,,,,,,
1647795467-81,https://www.capology.com/uk/premier-league/payrolls/2019-2020/,Liverpool,"£2,209.00","£114,870.00","£114,870.00","£8,110.00","£29,540.00","£36,140.00","£41,080.00",,,,,,,
1647795467-104,https://www.capology.com/uk/premier-league/payrolls/2019-2020/,West Ham,"£1,433.00","£74,506.00","£74,506.00","£7,306.00","£24,020.00","£10,560.00","£32,620.00",,,,,,,
1647795467-108,https://www.capology.com/uk/premier-league/payrolls/2019-2020/,Watford,"£1,109.00","£57,670.00","£57,670.00","£2,760.00","£16,730.00","£12,380.00","£25,800.00",,,,,,,
1647795467-83,https://www.capology.com/uk/premier-league/payrolls/2019-2020/,Everton,"£1,691.00","£87,930.00","£87,930.00","£8,350.00","£25,060.00","£20,820.00","£33,700.00",,,,,,,
1647795467-78,https://www.capology.com/uk/premier-league/payrolls/2019-2020/,Manchester City,"£2,865.00","£148,990.00","£148,990.00","£8,840.00","£37,020.00","£22,520.00","£80,610.00",,,,,,,
1647795467-98,https://www.capology.com/uk/premier-league/payrolls/2019-2020/,Manchester City,"£2,865.00","£148,990.00","£148,990.00","£8,840.00","£37,020.00","£22,520.00","£80,610.00",,,,,,,
1647795467-85,https://www.capology.com/uk/premier-league/payrolls/2019-2020/,Crystal Palace,"£1,429.00","£74,290.00","£74,290.00","£5,590.00","£23,140.00","£15,270.00","£30,290.00",,,,,,,
1647795467-93,https://www.capology.com/uk/premier-league/payrolls/2019-2020/,Burnley,£855.00,"£44,470.00","£44,470.00","£5,200.00","£15,140.00","£12,170.00","£11,960.00",,,,,,,
1647795467-84,https://www.capology.com/uk/premier-league/payrolls/2019-2020/,West Ham,"£1,433.00","£74,506.00","£74,506.00","£7,306.00","£24,020.00","£10,560.00","£32,620.00",,,,,,,
1647795467-111,https://www.capology.com/uk/premier-league/payrolls/2019-2020/,Aston Villa,£984.00,"£51,150.00","£51,150.00","£9,290.00","£14,630.00","£11,450.00","£15,780.00",,,,,,,
1647795467-114,https://www.capology.com/uk/premier-league/payrolls/2019-2020/,Bournemouth,£814.00,"£42,350.00","£42,350.00","£2,500.00","£14,580.00","£9,000.00","£16,270.00",,,,,,,
1647795467-100,https://www.capology.com/uk/premier-league/payrolls/2019-2020/,Arsenal,"£2,280.00","£118,540.00","£118,540.00","£6,760.00","£42,410.00","£17,260.00","£52,110.00",,,,,,,
1647795467-87,https://www.capology.com/uk/premier-league/payrolls/2019-2020/,Newcastle,"£1,294.00","£67,310.00","£67,310.00","£4,580.00","£23,310.00","£17,510.00","£21,910.00",,,,,,,
1647795467-116,https://www.capology.com/uk/premier-league/payrolls/2019-2020/,Sheffield United,£465.00,"£24,180.00","£24,180.00","£1,820.00","£8,620.00","£5,520.00","£8,220.00",,,,,,,
1647795467-94,https://www.capology.com/uk/premier-league/payrolls/2019-2020/,Bournemouth,£814.00,"£42,350.00","£42,350.00","£2,500.00","£14,580.00","£9,000.00","£16,270.00",,,,,,,
1647795467-110,https://www.capology.com/uk/premier-league/payrolls/2019-2020/,Southampton,"£1,030.00","£53,540.00","£53,540.00","£4,680.00","£19,120.00","£10,920.00","£18,820.00",,,,,,,
1647795467-79,https://www.capology.com/uk/premier-league/payrolls/2019-2020/,Chelsea,"£2,296.00","£119,390.00","£119,390.00","£9,730.00","£34,910.00","£32,060.00","£42,690.00",,,,,,,
1647795467-99,https://www.capology.com/uk/premier-league/payrolls/2019-2020/,Chelsea,"£2,296.00","£119,390.00","£119,390.00","£9,730.00","£34,910.00","£32,060.00","£42,690.00",,,,,,,
1647795467-106,https://www.capology.com/uk/premier-league/payrolls/2019-2020/,Leicester,"£1,414.00","£73,530.00","£73,530.00","£9,000.00","£23,400.00","£18,120.00","£23,010.00",,,,,,,
1647795467-77,https://www.capology.com/uk/premier-league/payrolls/2019-2020/,Manchester United,"£3,182.00","£165,440.00","£165,440.00","£24,700.00","£56,680.00","£28,600.00","£55,460.00",,,,,,,
1647795467-115,https://www.capology.com/uk/premier-league/payrolls/2019-2020/,Norwich,£504.00,"£26,190.00","£26,190.00","£4,750.00","£6,300.00","£7,330.00","£7,810.00",,,,,,,
1647795467-112,https://www.capology.com/uk/premier-league/payrolls/2019-2020/,Brighton,£937.00,"£48,720.00","£48,720.00","£3,480.00","£14,880.00","£17,360.00","£13,000.00",,,,,,,
1647795467-80,https://www.capology.com/uk/premier-league/payrolls/2019-2020/,Arsenal,"£2,280.00","£118,540.00","£118,540.00","£6,760.00","£42,410.00","£17,260.00","£52,110.00",,,,,,,
1647795467-103,https://www.capology.com/uk/premier-league/payrolls/2019-2020/,Everton,"£1,691.00","£87,930.00","£87,930.00","£8,350.00","£25,060.00","£20,820.00","£33,700.00",,,,,,,
1647795467-101,https://www.capology.com/uk/premier-league/payrolls/2019-2020/,Liverpool,"£2,209.00","£114,870.00","£114,870.00","£8,110.00","£29,540.00","£36,140.00","£41,080.00",,,,,,,
1647795467-90,https://www.capology.com/uk/premier-league/payrolls/2019-2020/,Southampton,"£1,030.00","£53,540.00","£53,540.00","£4,680.00","£19,120.00","£10,920.00","£18,820.00",,,,,,,
1647795467-113,https://www.capology.com/uk/premier-league/payrolls/2019-2020/,Burnley,£855.00,"£44,470.00","£44,470.00","£5,200.00","£15,140.00","£12,170.00","£11,960.00",,,,,,,
1647795467-97,https://www.capology.com/uk/premier-league/payrolls/2019-2020/,Manchester United,"£3,182.00","£165,440.00","£165,440.00","£24,700.00","£56,680.00","£28,600.00","£55,460.00",,,,,,,